Language,Index,Content,Tag
English,43,원거리는 이동은 한칸씩만 가능하지만 공격시 반격데미지를 받지 않습니다.,
English,44,이동은 이동거리가 1칸 더 길어집니다.,
English,45,이제 원거리 몬스터를 사용해보겠습니다.,
English,46,오른쪽의 원거리 몬스터를 소환하세요.,
English,47,턴을 종료해주세요.,
English,48,앞의 카드를 공격해주세요.,
English,49,지금처럼 원거리 카드는 공격시 반격 데미지를 받지 않습니다.,
English,50,그러나 데미지는 2배로 받고 이동거리는 1칸으로 고정되어 있습니다.,
English,51,턴종료를 눌러주세요.,
English,52,지금처럼 원거리는 공격받을때 2배의 데미지를 받습니다.,
English,53,이제 적의 거점을 파괴하세요.,
